State_Name,Season,Crop,Area,Production
Andhra Pradesh,Whole Year ,Other Fresh Fruits,3241.0,3586.0
Andhra Pradesh,Whole Year ,Papaya,1381.0,60038.0
Andhra Pradesh,Kharif     ,Arhar/Tur,32752.0,7893.0
Andhra Pradesh,Kharif     ,Cotton(lint),8933.0,7041.0
Andhra Pradesh,Kharif     ,Maize,3495.0,10031.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1464.0,545.0
Andhra Pradesh,Kharif     ,Rice,24335.0,85051.0
Andhra Pradesh,Kharif     ,Urad,76.0,37.0
Andhra Pradesh,Rabi       ,Gram,42106.0,9516.0
Andhra Pradesh,Rabi       ,Maize,3572.0,25822.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),3.0,1.0
Andhra Pradesh,Rabi       ,Rice,9240.0,21622.0
Andhra Pradesh,Whole Year ,Banana,324.0,16897.0
Andhra Pradesh,Whole Year ,Coconut ,837.0,6413350.0
Andhra Pradesh,Kharif     ,Arhar/Tur,35013.0,23704.0
Andhra Pradesh,Kharif     ,Cotton(lint),3295.0,3450.0
Andhra Pradesh,Kharif     ,Maize,5958.0,21538.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1078.0,747.0
Andhra Pradesh,Kharif     ,Rice,25008.0,69972.0
Andhra Pradesh,Kharif     ,Urad,69.0,24.0
Andhra Pradesh,Rabi       ,Gram,49105.0,48172.0
Andhra Pradesh,Rabi       ,Maize,1435.0,10721.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),16.0,5.0
Andhra Pradesh,Rabi       ,Rice,23142.0,55587.0
Andhra Pradesh,Rabi       ,Urad,11.0,7.0
Andhra Pradesh,Whole Year ,Banana,303.0,16231.0
Andhra Pradesh,Whole Year ,Coconut ,836.0,3358992.0
Andhra Pradesh,Kharif     ,Arhar/Tur,26244.0,3543.0
Andhra Pradesh,Kharif     ,Cotton(lint),1506.0,1940.0
Andhra Pradesh,Kharif     ,Maize,4877.0,20181.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),788.0,98.0
Andhra Pradesh,Kharif     ,Rice,22349.0,67427.0
Andhra Pradesh,Kharif     ,Urad,69.0,26.0
Andhra Pradesh,Rabi       ,Gram,83533.0,30739.0
Andhra Pradesh,Rabi       ,Maize,3120.0,23640.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),139.0,52.0
Andhra Pradesh,Rabi       ,Rice,10846.0,31974.0
Andhra Pradesh,Rabi       ,Urad,24.0,19.0
Andhra Pradesh,Whole Year ,Banana,289.0,14141.0
Andhra Pradesh,Whole Year ,Coconut ,790.0,6404076.0
Andhra Pradesh,Kharif     ,Arhar/Tur,37000.0,17000.0
Andhra Pradesh,Kharif     ,Cotton(lint),3000.0,2000.0
Andhra Pradesh,Kharif     ,Maize,7000.0,32000.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),1000.0,
Andhra Pradesh,Kharif     ,Rice,30000.0,95000.0
Andhra Pradesh,Rabi       ,Gram,75000.0,78000.0
Andhra Pradesh,Rabi       ,Maize,6000.0,48000.0
Andhra Pradesh,Rabi       ,Rice,14000.0,37000.0
Andhra Pradesh,Kharif     ,Arhar/Tur,34067.0,13150.0
Andhra Pradesh,Kharif     ,Cotton(lint),1611.0,1241.0
Andhra Pradesh,Kharif     ,Maize,6041.0,20896.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),629.0,245.0
Andhra Pradesh,Kharif     ,Rice,30306.0,94615.0
Andhra Pradesh,Rabi       ,Gram,73055.0,68379.0
Andhra Pradesh,Rabi       ,Maize,3658.0,32300.0
Andhra Pradesh,Rabi       ,Rice,18416.0,49815.0
Andhra Pradesh,Whole Year ,Banana,3603.0,160939.0
Andhra Pradesh,Whole Year ,Coconut ,786.0,7141464.0
Andhra Pradesh,Kharif     ,Arhar/Tur,20269.0,5919.0
Andhra Pradesh,Kharif     ,Cotton(lint),2063.0,1226.0
Andhra Pradesh,Kharif     ,Maize,8852.0,43924.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),448.0,115.0
Andhra Pradesh,Kharif     ,Rice,32226.0,101512.0
Andhra Pradesh,Kharif     ,Urad,30.0,9.0
Andhra Pradesh,Rabi       ,Arhar/Tur,316.0,92.0
Andhra Pradesh,Rabi       ,Gram,92936.0,107248.0
Andhra Pradesh,Rabi       ,Maize,4615.0,33736.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),8.0,3.0
Andhra Pradesh,Rabi       ,Rice,19428.0,46899.0
Andhra Pradesh,Rabi       ,Urad,17.0,13.0
Andhra Pradesh,Whole Year ,Banana,5010.0,265981.0
Andhra Pradesh,Whole Year ,Coconut ,725.0,4247685.0
Andhra Pradesh,Kharif     ,Arhar/Tur,66013.0,11156.0
Andhra Pradesh,Kharif     ,Cotton(lint),4338.0,2977.0
Andhra Pradesh,Kharif     ,Maize,10726.0,51174.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),791.0,251.0
Andhra Pradesh,Kharif     ,Rice,34973.0,102007.0
Andhra Pradesh,Kharif     ,Urad,14.0,6.0
Andhra Pradesh,Rabi       ,Gram,94240.0,73601.0
Andhra Pradesh,Rabi       ,Maize,4750.0,43306.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),83.0,29.0
Andhra Pradesh,Rabi       ,Rice,24828.0,69394.0
Andhra Pradesh,Rabi       ,Urad,559.0,299.0
Andhra Pradesh,Whole Year ,Banana,4416.0,223825.0
Andhra Pradesh,Kharif     ,Arhar/Tur,51728.0,4293.0
Andhra Pradesh,Kharif     ,Cotton(lint),19299.0,12069.0
Andhra Pradesh,Kharif     ,Maize,25447.0,63465.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),785.0,504.0
Andhra Pradesh,Kharif     ,Rice,37720.0,94531.0
Andhra Pradesh,Kharif     ,Urad,32.0,17.0
Andhra Pradesh,Rabi       ,Arhar/Tur,17.0,1.0
Andhra Pradesh,Rabi       ,Gram,68483.0,38008.0
Andhra Pradesh,Rabi       ,Maize,6208.0,48168.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),132.0,79.0
Andhra Pradesh,Rabi       ,Rice,10948.0,25542.0
Andhra Pradesh,Rabi       ,Urad,446.0,313.0
Andhra Pradesh,Whole Year ,Banana,8000.0,505176.0
Andhra Pradesh,Whole Year ,Coconut ,895.0,7165320.0
Andhra Pradesh,Kharif     ,Arhar/Tur,56586.0,8035.0
Andhra Pradesh,Kharif     ,Cotton(lint),27566.0,35511.0
Andhra Pradesh,Kharif     ,Grapes,238.0,7606.0
Andhra Pradesh,Kharif     ,Maize,22039.0,63516.0
Andhra Pradesh,Kharif     ,Mango,6276.0,57601.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),481.0,266.0
Andhra Pradesh,Kharif     ,Papaya,447.0,17197.0
Andhra Pradesh,Kharif     ,Pome Granet,1279.0,17671.0
Andhra Pradesh,Kharif     ,Rice,22056.0,58691.0
Andhra Pradesh,Kharif     ,Urad,31.0,29.0
Andhra Pradesh,Rabi       ,Cotton(lint),77.0,99.0
Andhra Pradesh,Rabi       ,Gram,89676.0,77301.0
Andhra Pradesh,Rabi       ,Maize,7070.0,50098.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),117.0,79.0
Andhra Pradesh,Rabi       ,Rice,6998.0,17768.0
Andhra Pradesh,Rabi       ,Urad,153.0,156.0
Andhra Pradesh,Whole Year ,Coconut ,646.0,5571000.0
Andhra Pradesh,Kharif     ,Arhar/Tur,49932.0,9287.0
Andhra Pradesh,Kharif     ,Cotton(lint),37661.0,77316.0
Andhra Pradesh,Kharif     ,Grapes,247.0,5644.0
Andhra Pradesh,Kharif     ,Maize,27087.0,53226.0
Andhra Pradesh,Kharif     ,Mango,8711.0,74653.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),481.0,534.0
Andhra Pradesh,Kharif     ,Papaya,230.0,22418.0
Andhra Pradesh,Kharif     ,Pome Granet,1450.0,23722.0
Andhra Pradesh,Kharif     ,Rice,28114.0,59377.0
Andhra Pradesh,Kharif     ,Urad,48.0,45.0
Andhra Pradesh,Rabi       ,Cotton(lint),62.0,127.0
Andhra Pradesh,Rabi       ,Gram,85768.0,68614.0
Andhra Pradesh,Rabi       ,Maize,7777.0,57970.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),129.0,81.0
Andhra Pradesh,Rabi       ,Rice,12283.0,28558.0
Andhra Pradesh,Rabi       ,Urad,4.0,3.0
Andhra Pradesh,Whole Year ,Banana,8661.0,483881.0
Andhra Pradesh,Whole Year ,Coconut ,552.0,3969000.0
Andhra Pradesh,Kharif     ,Arhar/Tur,37562.0,4845.0
Andhra Pradesh,Kharif     ,Cotton(lint),73734.0,103779.0
Andhra Pradesh,Kharif     ,Grapes,309.0,6886.0
Andhra Pradesh,Kharif     ,Maize,16839.0,42687.0
Andhra Pradesh,Kharif     ,Mango,11278.0,70939.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),2428.0,2994.0
Andhra Pradesh,Kharif     ,Papaya,374.0,29443.0
Andhra Pradesh,Kharif     ,Pome Granet,1572.0,16416.0
Andhra Pradesh,Kharif     ,Rice,22658.0,68155.0
Andhra Pradesh,Kharif     ,Urad,188.0,249.0
Andhra Pradesh,Rabi       ,Cotton(lint),884.0,1244.0
Andhra Pradesh,Rabi       ,Gram,68092.0,38676.0
Andhra Pradesh,Rabi       ,Maize,4474.0,31618.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),586.0,481.0
Andhra Pradesh,Rabi       ,Rice,6553.0,14377.0
Andhra Pradesh,Rabi       ,Urad,42.0,61.0
Andhra Pradesh,Whole Year ,Coconut ,687.0,5756000.0
Andhra Pradesh,Whole Year ,Rice,29211.0,82532.0
Andhra Pradesh,Kharif     ,Arhar/Tur,6100.0,900.0
Andhra Pradesh,Kharif     ,Maize,100.0,300.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),200.0,100.0
Andhra Pradesh,Kharif     ,Rice,42300.0,84400.0
Andhra Pradesh,Rabi       ,Rice,57400.0,137400.0
Andhra Pradesh,Kharif     ,Arhar/Tur,6100.0,1000.0
Andhra Pradesh,Kharif     ,Maize,100.0,300.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),300.0,200.0
Andhra Pradesh,Kharif     ,Rice,42000.0,105400.0
Andhra Pradesh,Kharif     ,Urad,200.0,200.0
Andhra Pradesh,Rabi       ,Maize,100.0,300.0
Andhra Pradesh,Rabi       ,Rice,62400.0,159200.0
Andhra Pradesh,Kharif     ,Cotton(lint),2.0,2.0
Andhra Pradesh,Kharif     ,Maize,181.0,514.0
Andhra Pradesh,Kharif     ,Masoor,5096.0,637.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),159.0,113.0
Andhra Pradesh,Kharif     ,Rice,37542.0,75477.0
Andhra Pradesh,Kharif     ,Urad,120.0,73.0
Andhra Pradesh,Rabi       ,Gram,1.0,1.0
Andhra Pradesh,Rabi       ,Maize,67.0,324.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),85.0,23.0
Andhra Pradesh,Rabi       ,Rice,37489.0,76800.0
Andhra Pradesh,Rabi       ,Urad,70.0,46.0
Andhra Pradesh,Kharif     ,Arhar/Tur,6032.0,2172.0
Andhra Pradesh,Kharif     ,Cotton(lint),19.0,25.0
Andhra Pradesh,Kharif     ,Gram,6.0,5.0
Andhra Pradesh,Kharif     ,Maize,357.0,930.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),138.0,61.0
Andhra Pradesh,Kharif     ,Rice,33776.0,89236.0
Andhra Pradesh,Kharif     ,Urad,120.0,7.0
Andhra Pradesh,Rabi       ,Maize,56.0,302.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),42.0,14.0
Andhra Pradesh,Rabi       ,Rice,41442.0,97181.0
Andhra Pradesh,Rabi       ,Urad,168.0,135.0
Andhra Pradesh,Whole Year ,Banana,953.0,19033.0
Andhra Pradesh,Whole Year ,Coconut ,4011.0,17215660.0
Andhra Pradesh,Kharif     ,Arhar/Tur,5403.0,924.0
Andhra Pradesh,Kharif     ,Cotton(lint),2.0,2.0
Andhra Pradesh,Kharif     ,Gram,5.0,6.0
Andhra Pradesh,Kharif     ,Maize,294.0,786.0
Andhra Pradesh,Kharif     ,Moong(Green Gram),225.0,109.0
Andhra Pradesh,Kharif     ,Rice,24377.0,55311.0
Andhra Pradesh,Kharif     ,Urad,141.0,51.0
Andhra Pradesh,Rabi       ,Maize,81.0,524.0
Andhra Pradesh,Rabi       ,Moong(Green Gram),82.0,25.0
Andhra Pradesh,Rabi       ,Rice,62049.0,170573.0
Andhra Pradesh,Rabi       ,Urad,189.0,129.0
Andhra Pradesh,Whole Year ,Banana,1005.0,7156.0
